"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE004226,D,2,ME725M1E Megadyne Product Master Data Specification","ME725M1E Megadyne Product Master Data Specification","Product Master Data Specification","D","Specification","Released"," ","NO","09/02/2020 14:24:10:251","Release"
"SCN072061,A,6,UOUP for Smoke Evacuation","UOUP for Smoke Evacuation","None","A","Scanned (Hardcopy) Item","Rejected"," ","NO","08/25/2020 14:50:03:983","WIP"
"SCN072062,A,5,Use Specification for Smoke Evacuation","Use Specification for Smoke Evacuation","None","A","Scanned (Hardcopy) Item","Rejected"," ","NO","08/25/2020 14:50:03:373","WIP"
"SCN075278,B,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-017)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-017)","ECR/ECP supportive documents","B","Scanned (Hardcopy) Item","Released"," ","NO","08/21/2020 14:28:52:015","Release"
"SCN075278,A,3,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-017)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-017)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","08/21/2020 14:28:50:687","Release"
"DR000794,A,2,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","06/09/2020 16:43:11:621","Release"
"SCN075317,A,1,PMCF Plan for Megadyne Ace Blade","PMCF Plan for Megadyne Ace Blade","None","A","Scanned (Hardcopy) Item","Released"," ","NO","06/01/2020 10:16:46:301","Release"
"SCN061849,B,1,Megadyne ACE700 Zip Pens CE Mark Addition Update","Megadyne ACE700 Zip Pens CE Mark Addition Update","ECR/ECP supportive documents","B","Scanned (Hardcopy) Item","Released"," ","NO","06/10/2019 10:05:02:579","Release"
"SCN061849,A,5,Megadyne ACE700 Zip Pens CE Mark Addition Update","Megadyne ACE700 Zip Pens CE Mark Addition Update","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","06/10/2019 10:05:01:673","Release"
"DR000633,A,4,Megadyne ACE700 Zip Pens CE Mark Addition Update","Megadyne ACE700 Zip Pens CE Mark Addition Update","PCO","A","Design Requirement","Released"," ","NO","02/25/2019 10:17:11:656","Release"
"SCN057160,B,2,SETUP MEGADYNE NPD ACE700 PRODUCT CODES FOR EES DISTRIBUTION","SETUP MEGADYNE NPD ACE700 PRODUCT CODES FOR EES DISTRIBUTION","External Supplier Status","B","Scanned (Hardcopy) Item","Released"," ","NO","02/16/2019 06:32:03:467","Release"





