Name,Title,Type,Revision,Class,Lifecycle State,Scanned In,Checked Out?,Modified Date,Owner Name
"PS4077,BZ,2,Process Specification for EO Sterilized Products at Isomedix",Process Specification for EO Sterilized Products at Isomedix,Process Specification (PS),BZ,General Processing Document,In Review, ,NO,12/08/2020 05:06:34:342,WIP
"SPE003186,L,11,Material Specification for ENSEAL 20 cm Shaft, Large Jaw","Material Specification for ENSEAL 20 cm Shaft, Large Jaw",Material Specification,L,Specification,Released, ,NO,09/21/2020 17:42:26:154,Release
"SPE003186,K,9,Material Specification for ENSEAL 20 cm Shaft, Large Jaw","Material Specification for ENSEAL 20 cm Shaft, Large Jaw",Material Specification,K,Specification,Released, ,NO,09/21/2020 17:42:17:357,Release
"PR000398,B,3,ETO Sterilization - Manufacturing Control Plan - Engineering View",ETO Sterilization - Manufacturing Control Plan - Engineering View,Manufacturing Process Control Plan,B,General Processing Document,In Review, ,NO,09/21/2020 08:19:26:494,WIP
"TF-N000022,AD,1,Stanley",Stanley,EES LLC Technical File,AD,Technical File,Released, ,NO,09/18/2020 18:10:25:708,Release
"TF-N000022,S,3,Stanley",Stanley,EES LLC Technical File,S,Technical File,Released, ,NO,09/18/2020 18:10:14:004,Release
"TF-N000022,T,2,Stanley",Stanley,EES LLC Technical File,T,Technical File,Released, ,NO,09/18/2020 18:10:12:488,Release
"TF-N000022,U,2,Stanley",Stanley,EES LLC Technical File,U,Technical File,Released, ,NO,09/18/2020 18:10:11:207,Release
"TF-N000022,V,4,Stanley",Stanley,EES LLC Technical File,V,Technical File,Released, ,NO,09/18/2020 18:10:10:238,Release
"TF-N000022,W,5,Stanley",Stanley,EES LLC Technical File,W,Technical File,Released, ,NO,09/18/2020 18:10:09:145,Release
"TF-N000022,X,3,Stanley",Stanley,EES LLC Technical File,X,Technical File,Released, ,NO,09/18/2020 18:10:07:973,Release
"TF-N000022,Y,3,Stanley",Stanley,EES LLC Technical File,Y,Technical File,Released, ,NO,09/18/2020 18:10:07:238,Release
"TF-N000022,Z,1,Stanley",Stanley,EES LLC Technical File,Z,Technical File,Released, ,NO,09/18/2020 18:10:06:707,Release
"TF-N000022,AA,1,Stanley",Stanley,EES LLC Technical File,AA,Technical File,Released, ,NO,09/18/2020 18:10:06:301,Release
"TF-N000022,AB,1,Stanley",Stanley,EES LLC Technical File,AB,Technical File,Released, ,NO,09/18/2020 18:10:05:801,Release
"TF-N000022,AC,2,Stanley",Stanley,EES LLC Technical File,AC,Technical File,Released, ,NO,09/18/2020 18:10:05:145,Release
"CA069315,A,6,Brick/Floyd Reliability Tester",Brick/Floyd Reliability Tester,Equipment Requirements Review,A,Component Approval Document,Released, ,NO,09/18/2020 17:45:21:441,Release
"RMD001676,A,2,Brick Line2, Jabil, PFMEA","Brick Line2, Jabil, PFMEA",Process FMEA (device)-Legacy,A,Risk Management Document,Working, ,NO,09/18/2020 17:19:20:971,WIP
"CA069161,C,1,D39221P01 Return Contact-I-Sheet",D39221P01 Return Contact-I-Sheet,Inspection Sheet RMI,C,Component Approval Document,Released, ,NO,09/18/2020 16:47:04:461,Release
"CA069161,A,3,D39221P01 Return Contact-I-Sheet",D39221P01 Return Contact-I-Sheet,Inspection Sheet RMI,A,Component Approval Document,Released, ,NO,09/18/2020 16:47:03:758,Release
"CA069161,B,2,D39221P01 Return Contact-I-Sheet",D39221P01 Return Contact-I-Sheet,Inspection Sheet RMI,B,Component Approval Document,Released, ,NO,09/18/2020 16:47:02:945,Release
"CA079149,A,11,Floyd Line 160 - OP60 Manual Station 4",Floyd Line 160 - OP60 Manual Station 4,Equipment Requirements Review,A,Component Approval Document,Released, ,NO,09/18/2020 16:19:16:050,Release
"CA082347,A,1,D50829-TRR",D50829-TRR,Tooling Requirements Review (TRR),A,Component Approval Document,Working, ,NO,09/18/2020 14:58:39:713,WIP
