"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003759,C,2,0018 Megadyne Product Master Data Specification","0018 Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/19/2020 14:01:01:500","Release"
"SPE003759,A,3,0018 Megadyne Product Master Data Specification","0018 Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/19/2020 14:00:58:735","Release"
"SPE003759,B,2,0018 Megadyne Product Master Data Specification","0018 Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/19/2020 14:00:58:110","Release"
"PRC096898,A,4,Gamma Sterilization Validation for Mimas Blade and Needle Products Due to Manufacturing Transfer","Gamma Sterilization Validation for Mimas Blade and Needle Products Due to Manufacturing Transfer","Sterilization Validation","A","Protocol","Released"," ","NO","07/23/2020 15:22:16:251","Release"
"DR000772,A,1,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","06/29/2020 16:25:54:309","Release"
"SCN074446,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","03/31/2020 08:48:25:191","Release"





