"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003760,C,2,0018C Megadyne Product Master Data Specification","0018C Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/19/2020 14:01:01:485","Release"
"SPE003760,A,2,0018C Megadyne Product Master Data Specification","0018C Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/19/2020 14:00:59:641","Release"
"SPE003760,B,2,0018C Megadyne Product Master Data Specification","0018C Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/19/2020 14:00:59:407","Release"
"DR000772,A,1,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","06/29/2020 16:25:54:309","Release"
"SCN074446,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","03/31/2020 08:48:25:191","Release"





