"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003761,C,2,0018CS Megadyne Product Master Data Specification","0018CS Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/19/2020 14:01:01:453","Release"
"SPE003761,A,3,0018CS Megadyne Product Master Data Specification","0018CS Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/19/2020 14:00:58:735","Release"
"SPE003761,B,2,0018CS Megadyne Product Master Data Specification","0018CS Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/19/2020 14:00:58:094","Release"
"DR000815,A,2,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","07/23/2020 09:18:15:005","Release"
"SCN076150,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-031)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-031)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","06/18/2020 16:49:59:194","Release"





