"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"PRC097519,A,2,Curing Oven w/Truck E19582 MaxID: ES2904 Software Validation Protocol","Curing Oven w/Truck E19582 MaxID: ES2904 Software Validation Protocol","Protocol Software Validation","A","Protocol","Released"," ","NO","09/03/2020 12:24:19:070","Release"
"SCN072939,B,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","ECR/ECP supportive documents","B","Scanned (Hardcopy) Item","Released"," ","NO","09/02/2020 09:09:49:585","Release"
"SCN072939,A,4,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-022)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","09/02/2020 09:09:48:538","Release"
"PRC097119,A,2,Completion Report of E20291 MaxID: ES2910, PTFE Refrigeration Station Software Validation","Completion Report of E20291 MaxID: ES2910, PTFE Refrigeration Station Software Validation","None","A","Completion Report","Released"," ","NO","08/27/2020 09:54:56:799","Release"
"PRC097508,A,4,Pre-Heat Oven E19578 MaxID:ES4357 Software Validation Protocol","Pre-Heat Oven E19578 MaxID:ES4357 Software Validation Protocol","Protocol Software Validation","A","Protocol","Released"," ","NO","08/25/2020 18:41:49:955","Release"
"SPE003733,C,2,0012MD Megadyne Product Master Data Specification","0012MD Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/14/2020 14:54:45:865","Release"
"SPE003733,A,4,0012MD Megadyne Product Master Data Specification","0012MD Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/14/2020 14:54:44:693","Release"
"SPE003733,B,2,0012MD Megadyne Product Master Data Specification","0012MD Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/14/2020 14:54:44:537","Release"
"PRC096666,A,5,IQ Protocol for Pre-Heat Oven E19578 , Coating modifier scale E20258","IQ Protocol for Pre-Heat Oven E19578 , Coating modifier scale E20258","Protocol Equipment Install Qual","A","Protocol","Released"," ","NO","08/12/2020 17:49:46:017","Release"
"PRC096669,A,6,IQ Protocol for Curing Oven w/Truck E19582 MaxID:ES2904","IQ Protocol for Curing Oven w/Truck E19582 MaxID:ES2904","Protocol Equipment Install Qual","A","Protocol","Released"," ","NO","08/12/2020 13:39:56:642","Release"
"PRC097117,A,3,E20291 PTFE Refrigeration Station  Software Validation","E20291 PTFE Refrigeration Station  Software Validation","Protocol Software Validation","A","Protocol","Released"," ","NO","08/10/2020 10:50:33:215","Release"
"PRC097055,A,3,Sterilization Validation for Megadyne Products Due to Manufacturing Transfer","Sterilization Validation for Megadyne Products Due to Manufacturing Transfer","Sterilization Validation","A","Protocol","Released"," ","NO","07/29/2020 16:33:49:994","Release"
"DR000757,A,1,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","06/10/2020 08:06:03:448","Release"





