"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003814,D,3,0038H Megadyne Product Master Data Specification","0038H Megadyne Product Master Data Specification","Product Master Data Specification","D","Specification","Released"," ","NO","09/18/2020 04:41:52:434","Release"
"SPE003814,A,2,0038H Megadyne Product Master Data Specification","0038H Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","09/18/2020 04:41:40:433","Release"
"SPE003814,B,2,0038H Megadyne Product Master Data Specification","0038H Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","09/18/2020 04:41:40:230","Release"
"SPE003814,C,2,0038H Megadyne Product Master Data Specification","0038H Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","09/18/2020 04:41:40:011","Release"
"SCN075569,A,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-018)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","08/14/2020 16:06:36:983","Release"





