"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003823,C,2,004025 Megadyne Product Master Data Specification","004025 Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","09/02/2020 14:24:09:158","Release"
"SPE003823,A,2,004025 Megadyne Product Master Data Specification","004025 Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","09/02/2020 14:24:06:783","Release"
"SPE003823,B,2,004025 Megadyne Product Master Data Specification","004025 Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","09/02/2020 14:24:06:548","Release"
"SCN072083,B,2,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-020)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-020)","ECR/ECP supportive documents","B","Scanned (Hardcopy) Item","Released"," ","NO","08/28/2020 09:17:53:473","Release"
"SCN072083,A,3,Update Megadyne Labeling per International Labeling Requirements (RA-DOC-020)","Update Megadyne Labeling per International Labeling Requirements (RA-DOC-020)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","08/28/2020 09:17:52:723","Release"
"DR000748,A,5,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","03/30/2020 12:10:00:034","Release"





