"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SCN076834,A,3,Update Megadyne Labeling per International Labeling Requirements (CN 171537 & CN 178260)","Update Megadyne Labeling per International Labeling Requirements (CN 171537 & CN 178260)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","09/02/2020 16:54:10:107","Release"
"SPE003907,C,2,0855C Megadyne Product Master Data Specification","0855C Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/31/2020 14:47:37:736","Release"
"SPE003907,A,3,0855C Megadyne Product Master Data Specification","0855C Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/31/2020 14:47:37:017","Release"
"SPE003907,B,2,0855C Megadyne Product Master Data Specification","0855C Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/31/2020 14:47:36:720","Release"
"DR000828,A,3,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","07/23/2020 13:04:20:641","Release"





