"Name","Title","Type","Revision","Class","Lifecycle State","Scanned In","Checked Out?","Modified Date","Owner Name"
"SPE003906,C,2,0855 Megadyne Product Master Data Specification","0855 Megadyne Product Master Data Specification","Product Master Data Specification","C","Specification","Released"," ","NO","08/31/2020 14:47:37:830","Release"
"SPE003906,A,3,0855 Megadyne Product Master Data Specification","0855 Megadyne Product Master Data Specification","Product Master Data Specification","A","Specification","Released"," ","NO","08/31/2020 14:47:36:923","Release"
"SPE003906,B,2,0855 Megadyne Product Master Data Specification","0855 Megadyne Product Master Data Specification","Product Master Data Specification","B","Specification","Released"," ","NO","08/31/2020 14:47:36:705","Release"
"SCN076832,B,3,Update Megadyne Labeling per International Labeling Requirements (CN 171537)","Update Megadyne Labeling per International Labeling Requirements (CN 171537)","ECR/ECP supportive documents","B","Scanned (Hardcopy) Item","Released"," ","NO","08/21/2020 14:28:06:593","Release"
"SCN076832,A,3,Update Megadyne Labeling per International Labeling Requirements (CN 171537)","Update Megadyne Labeling per International Labeling Requirements (CN 171537)","ECR/ECP supportive documents","A","Scanned (Hardcopy) Item","Released"," ","NO","08/21/2020 14:28:05:171","Release"
"DR000827,A,2,Update Megadyne Product Labeling","Update Megadyne Product Labeling","PCO","A","Design Requirement","Released"," ","NO","07/23/2020 13:04:20:594","Release"
"SCN070739,A,2,Megadyne (Disposable) Patient Return Electrodes CER","Megadyne (Disposable) Patient Return Electrodes CER","CER (Clinical Expert Report)","A","Scanned (Hardcopy) Item","Released"," ","NO","12/20/2019 08:05:32:999","Release"





